Year,,Both,Replacement_Job,Additional_Job
1384,97.66,0.66,0.89,0.79
1385,98.24,0.6,0.63,0.53
1386,98.2,0.66,0.65,0.49
1387,98.08,0.72,0.69,0.5
1388,97.74,0.79,0.86,0.61
1389,97.81,1.0,0.71,0.48
1390,98.08,0.83,0.65,0.43
1391,98.07,0.82,0.64,0.46
1392,97.94,0.78,0.74,0.54
1393,98.05,0.76,0.66,0.53
1394,97.95,0.75,0.73,0.57
1395,97.67,0.83,0.79,0.72
1396,97.68,0.83,0.82,0.66
1397,97.49,0.99,0.84,0.68
1398,97.65,0.99,0.79,0.57
1399,97.92,0.94,0.61,0.53
1400,98.06,0.84,0.59,0.51
1401,98.12,0.86,0.55,0.48
