Year,,Private_Sector_Employee,Self-employed,Public_Sector_Employee,Unpaid_Family_Worker,Public_Sector_Paid_Apprentice,Employer,Private_Sector_Paid_Apprentice,Public_Sector_Unpaid_Apprentice,Private_Sector_Unpaid_Apprentice,Cooperative_Sector_Employee,Unpaid_Apprentice,Paid_Apprentice
1384,88.07,3.61,3.01,2.29,2.69,,0.23,,,,0.02,0.05,0.02
1385,87.69,3.61,3.32,2.44,2.63,,0.24,,,,0.02,0.03,0.02
1386,87.52,3.52,3.4,2.51,2.76,,0.23,,,,0.01,0.03,0.02
1387,98.16,1.01,0.22,0.51,0.06,0.0,0.02,0.0,0.0,0.0,0.0,,
1388,97.92,1.22,0.26,0.48,0.07,0.01,0.03,0.0,0.0,0.0,0.0,,
1389,97.9,1.25,0.25,0.48,0.07,0.02,0.02,0.0,0.01,0.0,0.0,,
1390,98.02,1.17,0.23,0.48,0.06,0.01,0.02,0.0,0.0,0.0,0.0,,
1391,98.05,1.14,0.24,0.46,0.06,0.01,0.02,0.0,0.0,0.0,0.0,,
1392,98.44,0.96,0.23,0.3,0.04,0.01,0.02,0.0,0.0,0.0,0.0,,
1393,98.34,1.05,0.23,0.32,0.03,0.0,0.02,0.0,0.0,0.0,0.0,,
1394,98.16,1.18,0.27,0.32,0.04,0.0,0.02,0.0,0.0,0.0,0.0,,
1395,97.89,1.35,0.32,0.36,0.04,0.0,0.03,0.0,0.0,0.0,0.0,,
1396,97.9,1.38,0.32,0.34,0.03,0.01,0.02,0.0,0.0,0.0,0.0,,
1397,97.83,1.43,0.33,0.33,0.03,0.01,0.03,0.0,0.0,0.0,0.0,,
1398,98.08,1.24,0.28,0.33,0.02,0.01,0.02,0.0,0.0,0.0,0.0,,
1399,98.16,1.26,0.26,0.28,0.02,0.01,0.01,0.0,0.0,0.0,0.0,,
1400,98.38,1.09,0.23,0.26,0.01,0.01,0.01,0.0,0.0,0.0,0.0,,
1401,98.48,1.01,0.23,0.22,0.02,0.01,0.01,0.0,0.0,0.0,0.0,,
