Year,,Services,Industry,Agriculture
1384,95.52,3.43,0.67,0.38
1385,95.77,3.21,0.64,0.39
1386,96.48,2.66,0.56,0.3
1387,96.68,2.5,0.56,0.26
1388,96.56,2.51,0.61,0.32
1389,96.39,2.67,0.63,0.31
1390,96.51,2.59,0.61,0.3
1391,96.58,2.55,0.58,0.28
1392,96.98,2.04,0.72,0.26
1393,96.89,1.98,0.81,0.32
1394,96.67,2.2,0.84,0.28
1395,96.32,2.36,0.99,0.34
1396,96.37,2.43,0.89,0.3
1397,96.39,2.46,0.85,0.31
1398,96.71,2.31,0.72,0.26
1399,97.01,2.09,0.68,0.23
1400,97.22,1.97,0.61,0.2
1401,97.35,1.91,0.56,0.18
