Year,,Persian_Gulf_Countries,Other_Countries,Europe,Caspian_Sea_Countries,North_America,Japan
1384,99.92,0.06,0.0,0.01,0.0,0.0,
1385,99.93,0.06,0.0,0.0,0.0,0.0,
1386,99.95,0.04,0.0,0.0,0.0,0.0,
1387,99.97,0.03,0.0,0.0,0.0,0.0,0.0
1388,99.97,0.03,0.0,0.0,0.0,0.0,
1389,99.97,0.02,0.0,0.0,0.0,,
1390,99.98,0.02,0.0,0.0,,0.0,
1391,99.98,0.02,0.0,0.0,0.0,0.0,0.0
1392,99.98,0.02,0.01,0.0,0.0,0.0,
1393,99.97,0.02,0.0,0.0,0.0,0.0,
1394,99.97,0.02,0.0,0.0,0.0,0.0,
1395,99.98,0.01,0.0,0.0,0.0,0.0,
1396,99.99,0.01,0.0,0.0,,0.0,0.0
1397,99.97,0.02,0.0,0.0,0.0,0.0,
1398,99.98,0.01,0.0,0.0,0.0,0.0,
1399,99.99,0.01,0.0,0.0,0.0,0.0,
1400,99.99,0.01,0.0,0.0,0.0,0.0,
1401,99.99,0.01,0.0,0.0,0.0,0.0,
