Year,,Same_City_Other_Place,Other_Province_Other_City,Same_Province_Other_City,Same_Province_Other_Village,Abroad,Other_Province_Other_Village
1384,93.53,5.42,0.4,0.39,0.2,0.01,0.05
1385,93.88,5.1,0.45,0.35,0.16,0.03,0.03
1386,93.94,5.11,0.43,0.34,0.15,0.01,0.02
1387,94.25,4.86,0.4,0.32,0.13,0.01,0.02
1388,95.26,3.84,0.35,0.36,0.15,0.01,0.02
1389,95.24,3.7,0.42,0.41,0.18,0.02,0.02
1390,95.47,3.65,0.4,0.33,0.11,0.01,0.03
1391,95.06,4.03,0.38,0.35,0.15,0.01,0.02
1392,95.03,4.2,0.35,0.28,0.11,0.01,0.01
1393,95.21,4.09,0.32,0.24,0.1,0.01,0.02
1394,95.89,3.42,0.32,0.23,0.1,0.01,0.02
1395,95.9,3.4,0.32,0.25,0.1,0.02,0.02
1396,95.51,3.71,0.33,0.29,0.11,0.02,0.02
1397,95.5,3.71,0.32,0.31,0.12,0.02,0.02
1398,95.53,3.72,0.33,0.27,0.11,0.02,0.02
1399,97.55,2.03,0.22,0.15,0.05,0.01,0.01
1400,97.92,1.76,0.15,0.11,0.05,0.01,0.01
1401,97.44,2.2,0.15,0.12,0.05,0.04,0.0
