Year,,Personal_Issues,Education_or_Training,No_Need_to_Work,Other,Illness,Discouraged,Awaiting_Season,Unaware_of_Methods,Awaiting_Search_Results,Starting_Future_Job,Awaiting_Previous_Job,Awaiting_Response
1384,49.43,20.87,19.5,1.85,3.06,3.56,0.52,0.26,0.6,0.07,0.17,0.11,0.02
1385,48.48,22.06,19.27,1.79,3.45,3.31,0.4,0.3,0.64,0.04,0.14,0.11,0.01
1386,47.93,22.74,19.21,1.96,3.37,3.21,0.08,0.37,0.48,0.02,0.15,0.38,0.11
1387,46.25,24.02,19.01,2.76,3.52,2.98,0.54,0.21,0.36,0.08,0.16,0.09,0.02
1388,47.99,23.3,17.51,2.34,3.47,3.65,0.71,0.28,0.43,0.06,0.15,0.08,0.02
1389,46.9,24.43,17.54,2.4,3.65,3.58,0.63,0.24,0.28,0.06,0.16,0.1,0.02
1390,46.0,25.49,17.44,2.72,3.5,3.43,0.56,0.25,0.3,0.07,0.13,0.11,0.02
1391,45.93,25.9,17.12,2.86,3.92,2.91,0.59,0.21,0.25,0.08,0.11,0.09,0.02
1392,47.97,26.14,15.42,3.12,2.99,2.8,0.79,0.27,0.22,0.08,0.11,0.07,0.03
1393,47.39,26.64,15.36,3.16,3.08,2.85,0.75,0.23,0.24,0.09,0.11,0.08,0.02
1394,48.26,26.49,14.81,3.18,3.02,2.81,0.67,0.25,0.25,0.08,0.09,0.06,0.02
1395,48.82,25.8,14.53,3.34,3.06,3.04,0.7,0.22,0.23,0.09,0.08,0.06,0.03
1396,49.48,25.53,14.2,3.33,3.18,3.03,0.68,0.15,0.19,0.1,0.07,0.05,0.03
1397,50.59,25.39,13.91,3.17,2.79,2.94,0.7,0.15,0.14,0.09,0.06,0.05,0.02
1398,49.9,25.52,14.23,3.3,2.84,3.0,0.71,0.14,0.15,0.08,0.05,0.05,0.03
1399,47.48,26.63,14.81,3.62,3.4,2.92,0.66,0.13,0.14,0.07,0.04,0.06,0.03
1400,46.5,27.11,15.46,3.83,3.15,2.79,0.64,0.17,0.14,0.09,0.04,0.05,0.03
1401,45.86,27.39,15.55,4.07,3.24,2.74,0.61,0.19,0.16,0.09,0.04,0.03,0.03
