Year,,Self-employed,Unpaid_Family_Worker,Private_Sector_Employee,Employer,Public_Sector_Employee,Cooperative_Sector_Employee,Public_Sector_Paid_Apprentice,Private_Sector_Paid_Apprentice,Unpaid_Apprentice,Paid_Apprentice,Public_Sector_Unpaid_Apprentice,Private_Sector_Unpaid_Apprentice
1384,97.17,1.82,0.56,0.21,0.17,0.05,0.0,,,0.0,0.0,,
1385,98.47,1.04,0.24,0.11,0.1,0.03,0.0,,,0.0,0.0,,
1386,98.78,0.84,0.18,0.09,0.08,0.03,0.0,,,0.0,0.0,,
1387,98.98,0.73,0.16,0.07,0.04,0.02,0.0,,0.0,,,0.0,0.0
1388,98.63,0.93,0.28,0.09,0.05,0.02,0.0,,0.0,,,0.0,0.0
1389,98.81,0.86,0.18,0.09,0.05,0.02,0.0,0.0,0.0,,,0.0,0.0
1390,99.01,0.72,0.13,0.07,0.04,0.02,0.0,0.0,0.0,,,0.0,
1391,99.07,0.67,0.12,0.08,0.04,0.02,0.0,0.0,0.0,,,0.0,
1392,99.18,0.59,0.09,0.07,0.03,0.03,0.0,,0.0,,,0.0,0.0
1393,99.13,0.67,0.08,0.07,0.03,0.02,0.0,0.0,,,,,0.0
1394,98.95,0.79,0.11,0.07,0.05,0.02,0.0,,0.0,,,0.0,0.0
1395,98.89,0.83,0.11,0.09,0.05,0.03,0.0,0.0,0.0,,,,
1396,98.68,0.98,0.15,0.11,0.06,0.03,0.0,0.0,0.0,,,0.0,0.0
1397,98.53,1.08,0.15,0.13,0.07,0.04,0.0,0.0,,,,0.0,0.0
1398,98.49,1.12,0.17,0.13,0.06,0.03,0.0,0.0,0.0,,,0.0,0.0
1399,98.71,0.98,0.13,0.11,0.05,0.02,0.0,,0.0,,,,0.0
1400,98.74,0.97,0.12,0.1,0.05,0.02,0.0,,0.0,,,,0.0
1401,98.84,0.89,0.1,0.09,0.06,0.02,0.0,0.0,0.0,,,,
