Year,,Student,Employed,Homemaker,Retired,Income_Without_Work
1384,50.28,23.31,19.26,1.38,1.4,4.36
1385,49.12,23.81,19.26,1.58,1.88,4.35
1386,48.09,24.45,19.18,1.82,2.3,4.16
1387,46.33,25.16,18.9,2.4,2.35,4.88
1388,48.04,24.93,17.35,1.83,2.81,5.03
1389,46.97,25.65,17.51,2.14,3.1,4.62
1390,46.04,26.31,17.44,2.46,3.22,4.53
1391,45.97,26.58,17.11,2.7,3.12,4.51
1392,48.02,26.84,15.43,2.78,2.86,4.08
1393,47.46,27.33,15.33,2.96,3.11,3.82
1394,48.28,27.27,14.8,3.07,3.09,3.5
1395,48.83,26.68,14.55,3.17,3.18,3.6
1396,49.48,26.3,14.2,3.23,3.3,3.48
1397,50.6,26.1,13.88,3.21,3.05,3.15
1398,49.92,26.17,14.25,3.38,3.14,3.13
1399,47.53,27.07,14.86,3.72,3.31,3.5
1400,46.52,27.42,15.5,3.97,3.26,3.33
1401,45.88,27.65,15.58,4.18,3.37,3.34
