Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,80775,1.63,2.59,0,0.0,70
1385,80607,1.56,2.53,0,0.0,30
1386,79131,1.44,2.46,0,0.0,60
1387,11167,2.35,2.59,0,2.0,11
1388,12555,2.33,2.51,0,2.0,11
1389,12340,2.34,2.49,0,2.0,11
1390,11508,2.32,2.49,0,2.0,11
1391,10910,2.35,2.52,0,2.0,11
1392,10868,2.49,2.64,0,2.0,11
1393,11647,2.49,2.57,0,2.0,11
1394,12921,2.58,2.58,0,2.0,11
1395,14652,2.63,2.65,0,2.0,11
1396,14619,2.55,2.66,0,2.0,11
1397,15417,2.48,2.6,0,2.0,11
1398,13611,2.51,2.61,0,2.0,11
1399,12878,2.74,2.64,0,2.0,11
1400,11187,2.36,2.49,0,2.0,11
1401,10225,2.4,2.47,0,2.0,11
